,Phi[deg],Theta[deg],v,x,y,m,x1,y1
0,0,-90,-16.9668,-0.893996664,0,-1,0,-1
1,1,-90,-17.189,-0.483028459,-0.752272253,-1,-0.017452406,-0.999847695
2,2,-90,-17.691,0.372033883,-0.812908866,-1,-0.034899497,-0.999390827
3,3,-90,-18.5257,0.885049989,-0.126160816,-1,-0.052335956,-0.998629535
4,4,-90,-19.7934,0.584355216,0.676578906,-1,-0.069756474,-0.99756405
5,5,-90,-21.6752,-0.253593047,0.857275102,-1,-0.087155743,-0.996194698
6,6,-90,-24.5343,-0.858389033,0.249796523,-1,-0.104528463,-0.994521895
7,7,-90,-29.3219,-0.6739861,-0.587343827,-1,-0.121869343,-0.992546152
8,8,-90,-41.223,0.130076545,-0.884482972,-1,-0.139173101,-0.990268069
9,9,-90,-36.3813,0.814547414,-0.368432551,-1,-0.156434465,-0.987688341
10,10,-90,-29.0592,0.750127148,0.486353058,-1,-0.173648178,-0.984807753
11,11,-90,-26.0921,-0.003956559,0.893987908,-1,-0.190808995,-0.981627183
12,12,-90,-24.912,-0.754402624,0.479694398,-1,-0.207911691,-0.978147601
13,13,-90,-24.991,-0.811254395,-0.375627929,-1,-0.224951054,-0.974370065
14,14,-90,-26.2983,-0.122242617,-0.885599671,-1,-0.241921896,-0.970295726
15,15,-90,-29.2276,0.679158459,-0.581355159,-1,-0.258819045,-0.965925826
16,16,-90,-35.4668,0.85614438,0.257384605,-1,-0.275637356,-0.961261696
17,17,-90,-53.526,0.245995106,0.85948615,-1,-0.292371705,-0.956304756
18,18,-90,-34.1164,-0.590320934,0.671380093,-1,-0.309016994,-0.951056516
19,19,-90,-29.4592,-0.88389863,-0.133989725,-1,-0.325568154,-0.945518576
20,20,-90,-27.4353,-0.364824002,-0.816170008,-1,-0.342020143,-0.939692621
21,21,-90,-26.8389,0.489668131,-0.747967349,-1,-0.35836795,-0.933580426
22,22,-90,-27.3633,0.893961643,0.007913041,-1,-0.374606593,-0.927183855
23,23,-90,-29.0562,0.476350942,0.756518218,-1,-0.390731128,-0.920504853
24,24,-90,-32.3944,-0.379214617,0.809584034,-1,-0.406736643,-0.913545458
25,25,-90,-39.3168,-0.886132007,0.118322023,-1,-0.422618262,-0.906307787
26,26,-90,-53.9755,-0.578343716,-0.681724711,-1,-0.438371147,-0.898794046
27,27,-90,-38.8022,0.26117112,-0.854996889,-1,-0.4539905,-0.891006524
28,28,-90,-37.0272,0.860566433,-0.242188871,-1,-0.469471563,-0.882947593
29,29,-90,-44.1854,0.668760936,0.593286478,-1,-0.48480962,-0.874619707
30,30,-90,-36.3737,-0.137900282,0.883296975,-1,-0.5,-0.866025404
31,31,-90,-25.7957,-0.817776616,0.361208307,-1,-0.515038075,-0.857167301
32,32,-90,-19.9064,-0.745792901,-0.492973613,-1,-0.529919264,-0.848048096
